DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 00:39:00; 52.900;215.683;252.014;   null;125.433;1273.000;125.446;153.461;348.483;420.290;343.410;380.000;169.000;102.407; 91.900;172.999;208.133;218.112;292.683;102.531;163.802;121.700;100.800;207.530;180.680;   null;204.170;208.400;118.990;216.790;137.500;278.560;  4.198; 16.557;108.594
2023-04-23 00:40:00; 57.374;218.850;264.583;   null;122.183;1295.900;123.093;156.354;348.520;419.769;350.500;370.000;164.000;104.287; 90.120;169.795;210.400;208.535;288.913; 97.352;172.162;120.680; 99.867;207.110;181.820;   null;203.610;201.520;118.770;219.138;135.750;281.640;  4.828; 17.679;113.188
2023-04-23 00:41:00; 55.583;214.233;260.543;   null;121.500;1301.200;126.358;154.557;359.055;426.249;349.310;373.000;171.000;105.613; 91.150;167.636;210.533;212.734;285.875;101.686;167.599;120.630;102.800;205.700;183.680;   null;201.560;207.100;117.380;219.050;134.580;275.280;  5.181; 16.261;111.118
2023-04-23 00:42:00; 52.691;223.567;260.681;   null;124.050;1276.100;122.829;157.457;348.015;419.420;350.060;374.000;169.000;101.853; 89.370;170.012;211.600;212.734;292.215;103.193;167.809;123.540; 95.600;207.230;185.430;   null;207.420;202.910;115.860;217.535;136.950;277.840;  5.180; 18.086;109.284
2023-04-23 00:43:00; 54.630;213.900;250.789;   null;122.217;1297.700;125.639;153.504;348.652;423.624;349.400;371.000;166.000;106.575; 90.060;169.988;215.067;213.218;292.644;103.505;170.524;119.880; 96.533;203.740;184.870;   null;197.660;202.430;114.800;214.167;136.800;278.500;  4.493; 17.024;110.663
2023-04-23 00:44:00; 53.076;217.367;259.559;   null;120.083;1295.800;122.666;151.175;346.780;421.530;348.200;381.000;169.000;101.225; 89.420;177.546;210.800;215.533;289.854;102.652;163.913;118.130; 99.200;205.750;183.600;   null;199.050;216.500;116.500;214.040;137.850;276.890;  4.660; 16.866;113.076
2023-04-23 00:45:00; 57.687;220.567;256.262;   null;125.533;1286.000;124.965;157.276;349.285;422.908;341.160;374.000;161.000;108.423; 89.130;170.732;213.600;213.434;289.733; 99.699;167.874;120.450; 99.200;208.540;185.110;   null;201.220;208.130;120.540;211.633;137.990;285.560;  4.419; 17.785;113.533
2023-04-23 00:46:00; 53.829;226.333;257.315;   null;118.383;1294.100;121.813;157.256;357.866;422.038;348.730;366.000;168.000;108.056; 90.550;168.632;209.733;215.533;289.740;101.693;162.499;122.590; 95.867;209.090;182.250;261.020;198.100;206.320;120.950;217.012;136.050;279.480;  4.902; 18.751;108.012
2023-04-23 00:47:00; 54.242;222.383;263.513;   null;126.333;1302.100;125.355;154.094;357.763;419.204;338.380;382.000;165.000; 99.679; 89.890;168.990;205.067;215.797;288.229; 99.537;168.711;117.650; 99.200;202.420;185.730;   null;203.480;203.730;116.470;216.778;137.160;281.660;  4.698; 17.769;112.609
2023-04-23 00:48:00; 53.984;223.433;262.770;   null;120.317;1305.000;121.526;154.236;346.940;420.823;346.160;371.000;161.000;107.784; 90.450;167.157;209.600;212.734;290.048;102.824;164.471;119.000; 98.133;207.150;178.730;   null;194.640;201.200;114.690;221.955;136.830;281.630;  5.144; 16.972;110.082
