DATETIME;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSB;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-05-10 00:52:00;221.533;256.386; 66.533;120.850;1262.500;119.001;146.149;323.706;423.650;   null;401.000;105.129; 87.240;160.765;205.867;210.259;278.743; 96.950;160.084; 95.867;199.660;179.560;   null;193.190;196.880;111.550; 27.160;224.740;129.620;267.540;  4.871; 16.914;108.281
2024-05-10 00:53:00;215.083;254.919; 68.467;117.950;1262.100;118.242;151.708;329.055;421.236;   null;402.000;101.942; 88.590;164.305;202.667;210.255;274.903; 99.037;158.802; 96.800;201.170;173.490;   null;197.800;199.350;109.800; 26.320;228.580;128.880;265.940;  4.710; 16.491;106.017
2024-05-10 00:54:00;219.350;254.396; 67.983;120.667;1269.600;118.277;153.654;325.539;419.285;   null;406.000; 99.112; 87.730;166.175;202.933;209.529;280.070; 98.924;163.066; 98.800;199.060;179.070;   null;197.090;205.660;111.880; 26.970;229.300;126.970;268.970;  4.186; 17.012;106.017
2024-05-10 00:55:00;219.217;250.274; 77.567;118.033;1291.600;117.663;148.467;329.613;427.681;   null;409.000;100.535; 87.580;165.322;202.267;210.897;271.606;102.505;156.984; 93.067;198.030;175.680;   null;189.910;202.140;113.420; 26.190;227.530;125.680;263.980;  4.241; 17.973;111.298
2024-05-10 00:56:00;219.533;258.622; 71.183;118.367;1275.400;115.490;153.057;327.080;419.234;   null;406.000;105.020; 93.340;164.768;205.600;205.223;274.399; 98.174;157.178; 93.600;198.160;177.920;244.000;196.740;197.890;112.220; 26.970;231.230;129.260;265.210;  4.585; 16.877;105.403
2024-05-10 00:57:00;223.283;249.104; 67.500;119.750;1296.000;116.991;153.808;324.503;420.633;333.280;396.000;105.315; 87.920;170.768;202.800;209.001;276.235; 97.999;162.615; 92.800;193.060;176.540;253.200;198.490;200.450;109.460; 27.170;222.650;129.760;267.890;  4.458; 15.813;108.641
2024-05-10 00:58:00;217.817;254.482; 70.933;121.167;1264.200;116.448;149.754;327.720;419.969;332.000;409.000; 98.477; 89.090;162.750;205.333;204.482;280.952; 98.045;161.814; 92.667;200.850;175.820;   null;195.700;199.410;113.780; 26.210;230.560;127.820;271.750;  4.077; 17.605;111.629
2024-05-10 00:59:00;220.200;257.504; 70.450;122.067;1272.200;116.862;153.593;327.736;421.146;   null;410.000;104.981; 87.400;165.275;204.400;205.956;272.585; 96.557;162.609; 92.533;196.930;176.740;   null;194.530;201.770;113.100; 24.580;230.860;125.780;270.480;  4.476; 15.018;109.108
2024-05-10 01:00:00;222.100;257.976; 66.700;117.350;1275.700;113.862;147.482;331.488;418.822;330.800;400.000;102.245; 90.420;164.532;202.400;210.897;273.880; 97.737;162.541; 92.133;200.700;176.430;   null;197.210;194.490;114.040; 26.410;228.790;127.340;269.430;  4.856; 17.346;108.495
2024-05-10 01:01:00;217.883;249.802; 70.683;119.233;1274.600;119.998;150.522;330.742;423.488;334.680;406.000;102.736; 89.390;156.438;204.133;204.071;272.851; 98.872;157.236; 93.200;195.140;176.070;   null;193.500;204.240;115.100; 25.530;230.590;129.780;268.280;  4.477; 16.434;110.658
